Tarih,Başlık,Metin
"Thu, 06 Sep 2018 07:00:00 GMT",İşte en yeni portföy tavsiyesi: Yüzde kaç hisse senedi olmalı? - Ekonomi Dünya,İşte en yeni portföy tavsiyesi: Yüzde kaç hisse senedi olmalı?  Ekonomi Dünya
"Mon, 03 Dec 2018 08:00:00 GMT",​Dedesinin sandığından 33 milyar liralık hisse senedi çıktı - Yeni Şafak,​Dedesinin sandığından 33 milyar liralık hisse senedi çıktı  Yeni Şafak
"Fri, 03 Aug 2018 07:00:00 GMT",Çin dünyanın 2. büyük borsası ünvanını kaptırdı - Uzmanpara,Çin dünyanın 2. büyük borsası ünvanını kaptırdı  Uzmanpara
"Mon, 16 Jul 2018 22:30:06 GMT",OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş. İşlem Fikirleri — BIST:OTKAR - TradingView – Tüm Piyasaları Takip Edin,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş. İşlem Fikirleri — BIST:OTKAR  TradingView – Tüm Piyasaları Takip Edin
"Tue, 29 May 2018 07:00:00 GMT",Bir haftada yüzde 10’un üzerinde kazanç - Borsanın Gündemi,Bir haftada yüzde 10’un üzerinde kazanç  Borsanın Gündemi
"Thu, 07 Jun 2018 07:00:00 GMT","Takipçi için yeni zaman aralıkları, verileri aktarma ve diğer geliştirmeler - TradingView — Track All Markets","Takipçi için yeni zaman aralıkları, verileri aktarma ve diğer geliştirmeler  TradingView — Track All Markets"
"Wed, 22 Aug 2018 07:00:00 GMT",Fenerbahçe borsada tepe taklak - Uzmanpara,Fenerbahçe borsada tepe taklak  Uzmanpara
"Thu, 19 Jul 2018 07:00:00 GMT",İhracat yapan güçlü endeks hisseleri - fortuneturkey.com,İhracat yapan güçlü endeks hisseleri  fortuneturkey.com
"Wed, 07 Mar 2018 08:00:00 GMT",Son 5 yılda fiyatını 10’a katlayan hisseler - Borsanın Gündemi,Son 5 yılda fiyatını 10’a katlayan hisseler  Borsanın Gündemi
"Tue, 18 Sep 2018 07:00:00 GMT",200 Günlük Hareketli Ortalamaya göre “güçlü” ve “zayıf” BIST 30 hisseleri - Borsanın Gündemi,200 Günlük Hareketli Ortalamaya göre “güçlü” ve “zayıf” BIST 30 hisseleri  Borsanın Gündemi
"Mon, 19 Feb 2018 08:00:00 GMT",Aktif Büyüme oranı ile hisse seçimi - Borsanın Gündemi,Aktif Büyüme oranı ile hisse seçimi  Borsanın Gündemi
"Wed, 23 May 2018 07:00:00 GMT",İki büyük yabancı kurum hangi sektörlerde pozisyon aldı? - Borsanın Gündemi,İki büyük yabancı kurum hangi sektörlerde pozisyon aldı?  Borsanın Gündemi
"Fri, 07 Dec 2018 08:00:00 GMT",Osmanlı Yatırım GM Çakılkaya’dan yatırımcıya 8 hisse önerisi foto haber - Borsanın Gündemi,Osmanlı Yatırım GM Çakılkaya’dan yatırımcıya 8 hisse önerisi foto haber  Borsanın Gündemi
"Tue, 27 Feb 2018 08:00:00 GMT",Dünyanın en büyük varlık fonunun Türk hisseleri sevdası - BUSINESS HT - Bloomberght,Dünyanın en büyük varlık fonunun Türk hisseleri sevdası - BUSINESS HT  Bloomberght
"Tue, 20 Nov 2018 08:00:00 GMT",Ek iş yapmak isteyen memurlar dikkat! Memurlar borsada hisse senedi alabilir mi? - Sabah,Ek iş yapmak isteyen memurlar dikkat! Memurlar borsada hisse senedi alabilir mi?  Sabah
"Sun, 27 May 2018 07:00:00 GMT",11 ayda 13 milyon hisse sattı - BUSINESS HT - Bloomberght,11 ayda 13 milyon hisse sattı - BUSINESS HT  Bloomberght
"Tue, 29 May 2018 07:00:00 GMT",ASELSAN'ın ikinci halka arz süreci başlıyor? ASELSAN hissesi nasıl satın alınır? Aselsan hissesi almak - Sabah,ASELSAN'ın ikinci halka arz süreci başlıyor? ASELSAN hissesi nasıl satın alınır? Aselsan hissesi almak  Sabah
"Tue, 29 May 2018 07:00:00 GMT",Milli gururumuz ASELSAN halka arz oluyor… ASELSAN halka arz süreci başlıyor - Sabah,Milli gururumuz ASELSAN halka arz oluyor… ASELSAN halka arz süreci başlıyor  Sabah
"Fri, 27 Apr 2018 07:00:00 GMT",Halkbank'ın Genel Kurul'u ertelendi - BUSINESS HT - Bloomberght,Halkbank'ın Genel Kurul'u ertelendi - BUSINESS HT  Bloomberght
"Fri, 16 Mar 2018 07:00:00 GMT","Rihanna sinirlendi, hisse senedi fiyatları düştü! - CNN Türk","Rihanna sinirlendi, hisse senedi fiyatları düştü!  CNN Türk"
"Tue, 28 Aug 2018 07:00:00 GMT",Royal Halı ve Logo Yazılım sorusu foto haber - Borsanın Gündemi,Royal Halı ve Logo Yazılım sorusu foto haber  Borsanın Gündemi
"Fri, 19 Oct 2018 07:00:00 GMT",ABD 1 trilyon doları yakıyor - Hürriyet,ABD 1 trilyon doları yakıyor  Hürriyet
"Fri, 23 Feb 2018 08:00:00 GMT","Kylie Jenner tweet attı, Snapchat’in hisse senetleri çakıldı - NTV Haber","Kylie Jenner tweet attı, Snapchat’in hisse senetleri çakıldı  NTV Haber"
"Sun, 07 Jan 2018 08:00:00 GMT",Piyasanın 2018 Hesapları - Ekonomist,Piyasanın 2018 Hesapları  Ekonomist
"Fri, 30 Nov 2018 08:00:00 GMT",Başkan Erdoğan''dan yardım istedi! - Milat Gazetesi,Başkan Erdoğan''dan yardım istedi!  Milat Gazetesi
"Fri, 30 Nov 2018 08:00:00 GMT",Eylül Su Sapan kimdir kaç yaşında İstanbullu Gelin piyangosu - Internet Haber,Eylül Su Sapan kimdir kaç yaşında İstanbullu Gelin piyangosu  Internet Haber
"Wed, 27 Jun 2018 07:00:00 GMT",Bloomberg: Instragram'ın piyasa değeri 100 milyar Dolar - Euronews.com,Bloomberg: Instragram'ın piyasa değeri 100 milyar Dolar  Euronews.com
